,id,name,lat,long,dock_count,city,installation_date,mean_of_docks_available,docks_usage_percentage
59,71,Powell at Post (Union Square),37.788446,-122.408499,19,San Francisco,2013-08-23,10.1314657066,0.533235037189
60,72,Civic Center BART (7th at Market),37.781039,-122.411748,23,San Francisco,2013-08-23,10.2342045954,0.444965417191
61,73,Grant Avenue at Columbus Avenue,37.798522,-122.407245,15,San Francisco,2013-08-21,7.13018399638,0.475345599759
62,74,Steuart at Market,37.794139,-122.394434,23,San Francisco,2013-08-25,10.0682592586,0.437750402548
63,75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,San Francisco,2013-08-25,11.5680529824,0.608844893811
64,76,Market at 4th,37.786305,-122.404966,19,San Francisco,2013-08-25,10.5401283496,0.554743597347
65,77,Market at Sansome,37.789625,-122.400811,27,San Francisco,2013-08-25,13.5884729725,0.503276776759
66,80,Santa Clara County Civic Center,37.352601,-121.905733,15,San Jose,2013-12-31,8.18769707407,0.545846471605
67,82,Broadway St at Battery St,37.798541,-122.400862,15,San Francisco,2014-01-22,8.88525596052,0.592350397368
68,83,Mezes Park,37.491269,-122.236234,15,Redwood City,2014-02-20,8.51187680568,0.567458453712
69,84,Ryland Park,37.342725,-121.895617,15,San Jose,2014-04-09,7.93729964854,0.529153309903
