station_id,docks_available
2,13.7615345526
3,6.52788381006
4,5.68524878235
5,10.8686634668
6,7.38377316544
7,6.44558522149
8,7.42591131028
9,6.71721095822
10,8.63397956913
11,9.47311298096
12,8.51331578078
13,8.11246909442
14,10.3110030072
16,7.73882600337
21,8.37592358622
22,14.9667179492
23,7.77303725095
24,7.70747476716
25,8.35203950566
26,7.27358493269
27,7.85476072468
28,12.0466966722
29,12.1901482226
30,7.19305327554
31,7.7570161711
32,6.26024723114
33,8.27219352504
34,12.767082943
35,4.76479772943
36,6.77621256354
37,5.71931382689
38,7.42362107873
39,8.21298277318
41,8.83636778619
42,8.09341912885
45,9.31732211803
46,7.18783907802
47,11.6832604205
48,8.72905368045
49,10.3162401243
50,9.60651611837
51,11.0399800052
54,6.46072782939
55,11.5194779249
56,11.4101185991
57,7.34304167252
58,11.0158583134
59,14.1907441309
60,7.53213082097
61,13.5506106627
62,12.8145039833
63,10.9679845799
64,8.00297285657
65,7.31303616227
66,10.108929934
67,16.1463576981
68,10.1001881315
69,10.7484137747
70,8.22761617358
71,10.1314657066
72,10.2342045954
73,7.13018399638
74,10.0682592586
75,11.5680529824
76,10.5401283496
77,13.5884729725
80,8.18769707407
82,8.88525596052
83,8.51187680568
84,7.93729964854
